title,image_url,amazon url,release date,developer,publisher,platforms,genres,rating,description
Black Survival ,https://static-cdn.jtvnw.net/ttv-boxart/Black%20Survival-285x380.jpg,https://www.amazon.com/Personal-Emergency-Flashlight-Electronic-Decoration/dp/B078PBY992/ref=sr_1_1_sspa?ie=UTF8&qid=1516871542&sr=8-1-spons&keywords=Black+Survival&psc=1,TBA - Early Access,Archbears,Archbears,PC,Strategy Real-Time General,T,Black Survival is a Real-Time Survival Game@ where you must survive by any means out of 10 competitors in a deserted island. Make split-second decisions with a single click! Immerse yourself in the fierce battle for survival; you do not have a second to spare! Search@ Craft@ Attack@ and Run!
Garry's Mod ,https://static-cdn.jtvnw.net/ttv-boxart/Garry%27s%20Mod-285x380.jpg,https://www.amazon.com/Garrys-Mod-Portable-Tibers-Box/dp/B01FI1WSB4/ref=sr_1_1?ie=UTF8&qid=1516871569&sr=8-1&keywords=Garry%27s+Mod,Dec 24@ 2004,Facepunch Studios,Valve Software,PC,Miscellaneous General General Action-Adventure Sandbox,E,Garry's Mod is a physics sandbox. Unlike regular games there aren't any predefined aims or goals. We give you the tools and leave you to play. You spawn objects and weld them together to create your own contraptions - whether that's a car@ a rocket@ a catapult or something that doesn't have a name yet - that's up to you. If you're not too great at construction - don't worry! You can place a variety of characters in silly positions.
Super Mario Galaxy ,https://static-cdn.jtvnw.net/ttv-boxart/Super%20Mario%20Galaxy-285x380.jpg,https://www.amazon.com/Super-Mario-Galaxy-Nintendo-Selects-Wii/dp/B005FYJA52/ref=sr_1_1?ie=UTF8&qid=1516871589&sr=8-1&keywords=Super+Mario+Galaxy,Nov 12@ 2007,Nintendo,Nintendo,Wii,Action Platformer Platformer 3D 3D,E,The ultimate Nintendo hero is taking the ultimate step ... out into space. Join Mario as he ushers in a new era of video games@ defying gravity across all the planets in the galaxy. When some creature escapes into space with Princess Peach@ Mario gives chase@ exploring bizarre planets all across the galaxy. Mario@ Peach and enemies new and old are here. Players run@ jump and battle enemies as they explore all the planets in the galaxy. [Nintendo]
Life Is Strange ,https://static-cdn.jtvnw.net/ttv-boxart/Life%20Is%20Strange-285x380.jpg,https://www.amazon.com/Life-Strange-PlayStation-4/dp/B017AGIDV4/ref=sr_1_2?s=videogames&ie=UTF8&qid=1517025417&sr=1-2&keywords=life+is+strange,Dec 19@ 2017,Deck Nine Games,Square Enix,PlayStation 4 PC Xbox One,Action-Adventure General,M,"Life is Strange is a hand drawn work of art and every action enacts a butterfly effect - but with the power to rewind time, what would you change? And would it turn out to be a change for the better or worse?"
Squad ,https://static-cdn.jtvnw.net/ttv-boxart/Squad-285x380.jpg,https://www.amazon.com/Lux-Accessories-Goldtone-Friends-Necklace/dp/B01K8SWDXU/ref=sr_1_2?ie=UTF8&qid=1516871619&sr=8-2&keywords=Squad,,,,,,,
Oxenfree ,https://static-cdn.jtvnw.net/ttv-boxart/Oxenfree-285x380.jpg,https://www.amazon.com/Night-School-Studio-Oxenfree-Online/dp/B06ZYV8NJC/ref=sr_1_1?ie=UTF8&qid=1516871635&sr=8-1&keywords=Oxenfree,,,,,,,
The King of Fighters XIV ,https://static-cdn.jtvnw.net/ttv-boxart/The%20King%20of%20Fighters%20XIV-285x380.jpg,https://www.amazon.com/King-Fighters-XIV-SteelBook-Launch-PlayStation/dp/B01ETA9WPU/ref=sr_1_1?ie=UTF8&qid=1516871649&sr=8-1&keywords=The+King+of+Fighters+XIV,,,,,,,
Resident Evil 3: Nemesis ,https://static-cdn.jtvnw.net/ttv-boxart/Resident%20Evil%203:%20Nemesis-285x380.jpg,https://www.amazon.com/Resident-Evil-3-Nemesis-playstation/dp/B00000K1VA/ref=sr_1_1?ie=UTF8&qid=1516871667&sr=8-1&keywords=Resident+Evil+3%3A+Nemesis,,,,,,,
Breath of Fire IV ,https://static-cdn.jtvnw.net/ttv-boxart/Breath%20of%20Fire%20IV-285x380.jpg,https://www.amazon.com/Breath-Fire-4-Playstation/dp/B00004XMRL/ref=sr_1_1?ie=UTF8&qid=1516871680&sr=8-1&keywords=Breath+of+Fire+IV,,,,,,,
Dragon Warrior I & II ,https://static-cdn.jtvnw.net/ttv-boxart/Dragon%20Warrior%20I%20&%20II-285x380.jpg,https://www.amazon.com/Warrior-Nintendo-Game-Boy-Color-GBC/dp/B00004WLMB/ref=sr_1_1?ie=UTF8&qid=1516871693&sr=8-1&keywords=Dragon+Warrior+I+%26+II,,,,,,,
CrossFire ,https://static-cdn.jtvnw.net/ttv-boxart/CrossFire-285x380.jpg,https://www.amazon.com/Hasbro-Crossfire-Rapid-Fire-Game-EXCLUSIVE/dp/B0774VPS29/ref=sr_1_1?ie=UTF8&qid=1516871721&sr=8-1&keywords=CrossFire,,,,,,,
Crypt of the NecroDancer ,https://static-cdn.jtvnw.net/ttv-boxart/Crypt%20of%20the%20NecroDancer-285x380.jpg,https://www.amazon.com/Crypt-Necrodancer-Overclocked-Various-artists/dp/B01N4U1UUW/ref=sr_1_1?ie=UTF8&qid=1516871734&sr=8-1&keywords=Crypt+of+the+NecroDancer,,,,,,,
Keep Talking and Nobody Explodes ,https://static-cdn.jtvnw.net/ttv-boxart/Keep%20Talking%20and%20Nobody%20Explodes-285x380.jpg,https://www.amazon.com/VR-Worlds-PlayStation-4/dp/B01I5S8V9A/ref=sr_1_1?ie=UTF8&qid=1516871748&sr=8-1&keywords=Keep+Talking+and+Nobody+Explodes,,,,,,,
Silent Hill 2 ,https://static-cdn.jtvnw.net/ttv-boxart/Silent%20Hill%202-285x380.jpg,https://www.amazon.com/Silent-Hill-HD-Collection-Playstation-3/dp/B0050SXAIG/ref=sr_1_1_sspa?ie=UTF8&qid=1516871762&sr=8-1-spons&keywords=Silent+Hill+2&psc=1&smid=A1MTMP1LZL4FAB,,,,,,,
Stick Fight: The Game ,https://static-cdn.jtvnw.net/ttv-boxart/Stick%20Fight:%20The%20Game-285x380.jpg,https://www.amazon.com/Bit-of-Game-Stickman-Fight/dp/B078W7VDQS/ref=sr_1_1?ie=UTF8&qid=1516871775&sr=8-1&keywords=Stick+Fight%3A+The+Game,,,,,,,
Danganronpa V3: Killing Harmony ,https://static-cdn.jtvnw.net/ttv-boxart/Danganronpa%20V3:%20Killing%20Harmony-285x380.jpg,https://www.amazon.com/Danganronpa-V3-Killing-Harmony-PlayStation-4/dp/B01N7FT0NW/ref=sr_1_1?ie=UTF8&qid=1516871787&sr=8-1&keywords=Danganronpa+V3%3A+Killing+Harmony,,,,,,,
DC Universe Online ,https://static-cdn.jtvnw.net/ttv-boxart/DC%20Universe%20Online-285x380.jpg,https://www.amazon.com/s/ref=nb_sb_noss/144-0716306-8433568?url=search-alias%3Daps&field-keywords=DC+Universe+Online+,,,,,,,
Captain Tsubasa: Dream Team ,https://static-cdn.jtvnw.net/ttv-boxart/Captain%20Tsubasa:%20Dream%20Team-285x380.jpg,https://www.amazon.com/s/ref=nb_sb_noss/131-5018223-7993139?url=search-alias%3Daps&field-keywords=Captain+Tsubasa%3A+Dream+Team+,,,,,,,
BioShock Infinite ,https://static-cdn.jtvnw.net/ttv-boxart/BioShock%20Infinite-285x380.jpg,https://www.amazon.com/Bioshock-Infinite-Complete-Xbox-360/dp/B00NY7H0T0/ref=sr_1_1?ie=UTF8&qid=1516871822&sr=8-1&keywords=BioShock+Infinite,,,,,,,
Forge of Gods (RPG) ,https://static-cdn.jtvnw.net/ttv-boxart/Forge%20of%20Gods%20%28RPG%29-285x380.jpg,https://www.amazon.com/Butchers-Nails-Horus-Heresy/dp/B0784Q8TCX/ref=sr_1_1?ie=UTF8&qid=1516871836&sr=8-1&keywords=Forge+of+Gods+%28RPG%29,,,,,,,
Street Fighter III: 3rd Strike ,https://static-cdn.jtvnw.net/ttv-boxart/Street%20Fighter%20III:%203rd%20Strike-285x380.jpg,https://www.amazon.com/Street-Fighter-III-Strike-Sega-Dreamcast/dp/B00004XOM2/ref=sr_1_1?ie=UTF8&qid=1516871854&sr=8-1&keywords=Street+Fighter+III%3A+3rd+Strike,,,,,,,
Anime Land ,https://static-cdn.jtvnw.net/ttv-boxart/Anime%20Land-285x380.jpg,https://www.amazon.com/Phosphophyllite/dp/B0767P3MV6/ref=sr_1_1?ie=UTF8&qid=1516871866&sr=8-1&keywords=Anime+Land,,,,,,,
L.A. Noire ,https://static-cdn.jtvnw.net/ttv-boxart/L.A.%20Noire-285x380.jpg,https://www.amazon.com/L-Noire-PlayStation-4/dp/B075N32S46/ref=sr_1_1?ie=UTF8&qid=1516871882&sr=8-1&keywords=L.A.+Noire,,,,,,,
Tales of Berseria ,https://static-cdn.jtvnw.net/ttv-boxart/Tales%20of%20Berseria-285x380.jpg,https://www.amazon.com/Tales-Berseria-PlayStation-4/dp/B01HQGWBZ2/ref=sr_1_1?ie=UTF8&qid=1516871894&sr=8-1&keywords=Tales+of+Berseria,,,,,,,
Startup Company ,https://static-cdn.jtvnw.net/ttv-boxart/Startup%20Company-285x380.jpg,https://www.amazon.com/Equity-Crowdfunding-Complete-Startups-Companies-ebook/dp/B01M5FBSEB/ref=sr_1_1_sspa?ie=UTF8&qid=1516871909&sr=8-1-spons&keywords=Startup+Company&psc=1,,,,,,,
Oxygen Not Included ,https://static-cdn.jtvnw.net/ttv-boxart/Oxygen%20Not%20Included-285x380.jpg,https://www.amazon.com/Love-Stinks-Fart-Relief-Mask/dp/B06XCMXRJB/ref=sr_1_1?ie=UTF8&qid=1516871928&sr=8-1&keywords=Oxygen+Not+Included,,,,,,,
Grim Dawn ,https://static-cdn.jtvnw.net/ttv-boxart/Grim%20Dawn-285x380.jpg,https://www.amazon.com/Crate-Entertainment-Grim-Dawn-Download/dp/B00Y5P7AX6/ref=sr_1_1?ie=UTF8&qid=1516871943&sr=8-1&keywords=Grim+Dawn,,,,,,,
Super Mario World 2: Yoshi's Island ,https://static-cdn.jtvnw.net/ttv-boxart/Super%20Mario%20World%202:%20Yoshi%27s%20Island-285x380.jpg,https://www.amazon.com/Super-Mario-World-Yoshis-Island-Nintendo/dp/B00002SVG0/ref=sr_1_1?ie=UTF8&qid=1516871957&sr=8-1&keywords=Super+Mario+World+2%3A+Yoshi%27s+Island,,,,,,,
FIFA 17 ,https://static-cdn.jtvnw.net/ttv-boxart/FIFA%2017-285x380.jpg,https://www.amazon.com/Xbox-One-Sports-Game-Project-Scorpio/dp/B077RNNY6V/ref=sr_1_1_sspa?ie=UTF8&qid=1516871970&sr=8-1-spons&keywords=FIFA+17&psc=1,,,,,,,
Darkwood ,https://static-cdn.jtvnw.net/ttv-boxart/Darkwood-285x380.jpg,https://www.amazon.com/Darkwood-M-Breen-ebook/dp/B004YJX1ZE/ref=sr_1_1?ie=UTF8&qid=1516871984&sr=8-1&keywords=Darkwood,,,,,,,
Rusty Lake Paradise ,https://static-cdn.jtvnw.net/ttv-boxart/Rusty%20Lake%20Paradise-285x380.jpg,https://www.amazon.com/Rusty-Frentner-entitled-Whiskey-Lighthouse/dp/B0753ZYYWT/ref=sr_1_1?ie=UTF8&qid=1516871998&sr=8-1&keywords=Rusty+Lake+Paradise,,,,,,,
Batman: The Enemy Within - The Telltale Series ,https://static-cdn.jtvnw.net/ttv-boxart/Batman:%20The%20Enemy%20Within%20-%20The%20Telltale%20Series-285x380.jpg,https://www.amazon.com/s/ref=nb_sb_noss/131-4403221-6274931?url=search-alias%3Daps&field-keywords=Batman%3A+The+Enemy+Within+-+The+Telltale+Series+,,,,,,,
Mutant Football League ,https://static-cdn.jtvnw.net/ttv-boxart/Mutant%20Football%20League-285x380.jpg,https://www.amazon.com/Mutant-League-Football-Sega-Genesis/dp/B000035XOA/ref=sr_1_1?ie=UTF8&qid=1516872020&sr=8-1&keywords=Mutant+Football+League,,,,,,,
Super Mario Bros. ,https://static-cdn.jtvnw.net/ttv-boxart/Super%20Mario%20Bros.-285x380.jpg,https://www.amazon.com/Super-Mario-Bros-Re-Stik-decals/dp/B008EFYUP4/ref=sr_1_1_sspa?ie=UTF8&qid=1516872035&sr=8-1-spons&keywords=Super+Mario+Bros.&psc=1,,,,,,,
Miscreated ,https://static-cdn.jtvnw.net/ttv-boxart/Miscreated-285x380.jpg,https://www.amazon.com/6060300-Classic-Cleaner-Discontinued-Manufacturer/dp/B0017JE9T6/ref=sr_1_1?ie=UTF8&qid=1516872047&sr=8-1&keywords=Miscreated,,,,,,,
Gigantic ,https://static-cdn.jtvnw.net/ttv-boxart/Gigantic-285x380.jpg,https://www.amazon.com/Gigantic-Paul-Dano/dp/B06XJ5Z7R3/ref=sr_1_1?ie=UTF8&qid=1516872059&sr=8-1&keywords=Gigantic,,,,,,,
Knives Out ,https://static-cdn.jtvnw.net/ttv-boxart/Knives%20Out-285x380.jpg,https://www.amazon.com/Kagura-Bamboo-Cracker-Serving-Slide-Out/dp/B07759VGG7/ref=sr_1_1_sspa?ie=UTF8&qid=1516872075&sr=8-1-spons&keywords=Knives+Out&psc=1,,,,,,,
Resident Evil 5 ,https://static-cdn.jtvnw.net/ttv-boxart/Resident%20Evil%205-285x380.jpg,https://www.amazon.com/Resident-Evil-5-Standard-PlayStation-4/dp/B01CR058OS/ref=sr_1_1?ie=UTF8&qid=1516872088&sr=8-1&keywords=Resident+Evil+5,,,,,,,
Rock Band 4 ,https://static-cdn.jtvnw.net/ttv-boxart/Rock%20Band%204-285x380.jpg,https://www.amazon.com/Rock-Band-GAME-Microsoft-Xbox-One/dp/B00Z9HSALA/ref=sr_1_1?ie=UTF8&qid=1516872102&sr=8-1&keywords=Rock+Band+4,,,,,,,
Yakuza Kiwami ,https://static-cdn.jtvnw.net/ttv-boxart/Yakuza%20Kiwami-285x380.jpg,https://www.amazon.com/Yakuza-Kiwami-PlayStation-4-Steelbook/dp/B06Y5Y9T8V/ref=sr_1_1?ie=UTF8&qid=1516872115&sr=8-1&keywords=Yakuza+Kiwami,,,,,,,
Need for Speed Payback ,https://static-cdn.jtvnw.net/ttv-boxart/Need%20for%20Speed%20Payback-285x380.jpg,https://www.amazon.com/Need-Speed-Payback-PlayStation-4/dp/B072M668VC/ref=sr_1_1?ie=UTF8&qid=1516872128&sr=8-1&keywords=Need+for+Speed+Payback,,,,,,,
Wolfenstein II: The New Colossus ,https://static-cdn.jtvnw.net/ttv-boxart/Wolfenstein%20II:%20The%20New%20Colossus-285x380.jpg,https://www.amazon.com/Wolfenstein-II-New-Colossus-PlayStation-4/dp/B072JY7NX5/ref=sr_1_1?ie=UTF8&qid=1516872142&sr=8-1&keywords=Wolfenstein+II%3A+The+New+Colossus,,,,,,,
Mario + Rabbids Kingdom Battle ,https://static-cdn.jtvnw.net/ttv-boxart/Mario%20+%20Rabbids%20Kingdom%20Battle-285x380.jpg,https://www.amazon.com/Mario-Rabbids-Kingdom-Battle-Nintendo-Standard/dp/B071JRMKBH/ref=sr_1_1?ie=UTF8&qid=1516872160&sr=8-1&keywords=Mario+%2B+Rabbids+Kingdom+Battle,,,,,,,
Starbound ,https://static-cdn.jtvnw.net/ttv-boxart/Starbound-285x380.jpg,https://www.amazon.com/StarBound-Carol-Miller/dp/1598501828/ref=sr_1_2?ie=UTF8&qid=1516872173&sr=8-2&keywords=Starbound,,,,,,,
Killer Instinct ,https://static-cdn.jtvnw.net/ttv-boxart/Killer%20Instinct-285x380.jpg,https://www.amazon.com/Killer-Instinct-Definitive-Xbox-One/dp/B01GVE4ZXQ/ref=sr_1_1?ie=UTF8&qid=1516872186&sr=8-1&keywords=Killer+Instinct,,,,,,,
Fire Emblem Fates ,https://static-cdn.jtvnw.net/ttv-boxart/Fire%20Emblem%20Fates-285x380.jpg,https://www.amazon.com/Fire-Emblem-Fates-Conquest-Nintendo-3DS/dp/B00ZS1SRO2/ref=sr_1_1?ie=UTF8&qid=1516872507&sr=8-1&keywords=Fire+Emblem+Fates,,,,,,,
Warhammer: End Times Vermintide ,https://static-cdn.jtvnw.net/ttv-boxart/Warhammer:%20End%20Times%20%E2%80%93%20Vermintide-285x380.jpg,https://www.amazon.com/s/ref=nb_sb_noss/140-9688242-1281322?url=search-alias%3Daps&field-keywords=Warhammer%3A+End+Times+Vermintide+,,,,,,,
Resident Evil 2 ,https://static-cdn.jtvnw.net/ttv-boxart/Resident%20Evil%202-285x380.jpg,https://www.amazon.com/Resident-Evil-Essentials-Code-playstation-2/dp/B000QTD05C/ref=sr_1_1_sspa?ie=UTF8&qid=1516872529&sr=8-1-spons&keywords=Resident+Evil+2&psc=1&smid=A1MTMP1LZL4FAB,,,,,,,
Cards Against Humanity ,https://static-cdn.jtvnw.net/ttv-boxart/Cards%20Against%20Humanity-285x380.jpg,https://www.amazon.com/s/ref=nb_sb_noss/146-1603669-3732935?url=search-alias%3Daps&field-keywords=Cards+Against+Humanity+,,,,,,,
Tom Clancy's Ghost Recon: Wildlands ,https://static-cdn.jtvnw.net/ttv-boxart/Tom%20Clancy%27s%20Ghost%20Recon:%20Wildlands-285x380.jpg,https://www.amazon.com/Tom-Clancys-Ghost-Recon-Wildlands-Xbox/dp/B00ZJEIS2Y/ref=sr_1_1?ie=UTF8&qid=1516872555&sr=8-1&keywords=Tom+Clancy%27s+Ghost+Recon%3A+Wildlands,,,,,,,
Call of Duty 4: Modern Warfare ,https://static-cdn.jtvnw.net/ttv-boxart/Call%20of%20Duty%204:%20Modern%20Warfare-285x380.jpg,https://www.amazon.com/Call-Duty-Modern-Warfare-Remastered-PlayStation/dp/B072FP29S9/ref=sr_1_3?ie=UTF8&qid=1516872822&sr=8-3&keywords=Call%2Bof%2BDuty%2B4%3A%2BModern%2BWarfare&th=1,,,,,,,
White Day: A Labyrinth Named School ,https://static-cdn.jtvnw.net/ttv-boxart/White%20Day:%20A%20Labyrinth%20Named%20School-285x380.jpg,https://www.amazon.com/White-Day-Labyrinth-Named-School-PlayStation/dp/B073N4PGN1/ref=sr_1_1?ie=UTF8&qid=1516872879&sr=8-1&keywords=White+Day%3A+A+Labyrinth+Named+School,,,,,,,
Phantasy Star Online Episode I & II ,https://static-cdn.jtvnw.net/ttv-boxart/Phantasy%20Star%20Online%20Episode%20I%20&%20II-285x380.jpg,https://www.amazon.com/ABC-Watch-Full-Episodes-Live/dp/B00BYJ6BUO/ref=sr_1_fkmr3_1?ie=UTF8&qid=1516872892&sr=8-1-fkmr3&keywords=Phantasy+Star+Online+Episode+I+%26+II,,,,,,,
Dark and Light ,https://static-cdn.jtvnw.net/ttv-boxart/Dark%20and%20Light-285x380.jpg,https://www.amazon.com/Adenna-Nitrile-Powder-Gloves-X-Large/dp/B00QRELGEC/ref=sr_1_1?ie=UTF8&qid=1516872909&sr=8-1&keywords=Dark+and+Light,,,,,,,
Zelda II: The Adventure of Link ,https://static-cdn.jtvnw.net/ttv-boxart/Zelda%20II:%20The%20Adventure%20of%20Link-285x380.jpg,https://www.amazon.com/Zelda-II-Adventure-nintendo-entertainment-system/dp/B00004SVYE/ref=sr_1_1?ie=UTF8&qid=1516872926&sr=8-1&keywords=Zelda+II%3A+The+Adventure+of+Link,,,,,,,
No Man's Sky ,https://static-cdn.jtvnw.net/ttv-boxart/No%20Man%27s%20Sky-285x380.jpg,https://www.amazon.com/No-Mans-Sky-PlayStation-4/dp/B00ZQB28XK/ref=sr_1_1?ie=UTF8&qid=1516872938&sr=8-1&keywords=No+Man%27s+Sky,,,,,,,
Conan Exiles ,https://static-cdn.jtvnw.net/ttv-boxart/Conan%20Exiles-285x380.jpg,https://www.amazon.com/Conan-Exiles-Online-Game-Code/dp/B071L2QL1K/ref=sr_1_1?ie=UTF8&qid=1516872949&sr=8-1&keywords=Conan+Exiles,,,,,,,
Final Fantasy XI Online ,https://static-cdn.jtvnw.net/ttv-boxart/Final%20Fantasy%20XI%20Online-285x380.jpg,https://www.amazon.com/Playstation-2-Final-Fanstasy-XI-Online/dp/B00NHA2W1K/ref=sr_1_1?ie=UTF8&qid=1516872962&sr=8-1&keywords=Final+Fantasy+XI+Online,,,,,,,
Rocksmith 2014 ,https://static-cdn.jtvnw.net/ttv-boxart/Rocksmith%202014-285x380.jpg,https://www.amazon.com/Rocksmith-2014-Remastered-PC-Standard-Mac/dp/B01KVVSRPW/ref=sr_1_1?ie=UTF8&qid=1516872975&sr=8-1&keywords=Rocksmith+2014,,,,,,,
Tokyo Xanadu ,https://static-cdn.jtvnw.net/ttv-boxart/Tokyo%20Xanadu-285x380.jpg,https://www.amazon.com/Tokyo-Xanadu-eX-PlayStation-4/dp/B01N4PCCN1/ref=sr_1_1?ie=UTF8&qid=1516872989&sr=8-1&keywords=Tokyo+Xanadu,,,,,,,
Payday 2 ,https://static-cdn.jtvnw.net/ttv-boxart/Payday%202-285x380.jpg,https://www.amazon.com/Winning-Moves-Games-1087-Payday/dp/B00083HIJK/ref=sr_1_1_sspa?ie=UTF8&qid=1516873002&sr=8-1-spons&keywords=Payday+2&psc=1,,,,,,,
Northgard ,https://static-cdn.jtvnw.net/ttv-boxart/Northgard-285x380.jpg,https://www.amazon.com/Northgard/dp/B0756H9GV5/ref=sr_1_1?ie=UTF8&qid=1516873016&sr=8-1&keywords=Northgard,,,,,,,
Phantasy Star Online 2 ,https://static-cdn.jtvnw.net/ttv-boxart/Phantasy%20Star%20Online%202-285x380.jpg,https://www.amazon.com/PHANTASY-STAR-ONLINE-DELUX-PACKAGE-4924899011/dp/B01AW43BUY/ref=sr_1_1?ie=UTF8&qid=1516873028&sr=8-1&keywords=Phantasy+Star+Online+2,,,,,,,
JYDGE ,https://static-cdn.jtvnw.net/ttv-boxart/JYDGE-285x380.jpg,https://www.amazon.com/s/ref=nb_sb_noss/140-9880383-5725734?url=search-alias%3Daps&field-keywords=JYDGE+,,,,,,,
Wings of Vi ,https://static-cdn.jtvnw.net/ttv-boxart/Wings%20of%20Vi-285x380.jpg,https://www.amazon.com/SADES-Flash-Gaming-Buttons-Switches/dp/B074TFRFZD/ref=sr_1_1?ie=UTF8&qid=1516873054&sr=8-1&keywords=Wings+of+Vi,,,,,,,
Hearts of Iron IV ,https://static-cdn.jtvnw.net/ttv-boxart/Hearts%20of%20Iron%20IV-285x380.jpg,https://www.amazon.com/Hearts-Iron-IV-Together-Victory/dp/B01NAJ3DH5/ref=sr_1_1?ie=UTF8&qid=1516873069&sr=8-1&keywords=Hearts+of+Iron+IV,,,,,,,
Blood Bowl 2 ,https://static-cdn.jtvnw.net/ttv-boxart/Blood%20Bowl%202-285x380.jpg,https://www.amazon.com/Blood-Bowl-2-Xbox-One/dp/B00VQRFEGG/ref=sr_1_1_sspa?ie=UTF8&qid=1516873082&sr=8-1-spons&keywords=Blood+Bowl+2&psc=1,,,,,,,
Demon's Souls ,https://static-cdn.jtvnw.net/ttv-boxart/Demon%27s%20Souls-285x380.jpg,https://www.amazon.com/Demons-Souls-Playstation-3/dp/B002AB7TX8/ref=sr_1_1?ie=UTF8&qid=1516873095&sr=8-1&keywords=Demon%27s+Souls,,,,,,,
FTL: Faster Than Light ,https://static-cdn.jtvnw.net/ttv-boxart/FTL:%20Faster%20Than%20Light-285x380.jpg,https://www.amazon.com/aiwbizmedia-FTL-Starships-Space-Combat/dp/B00LRKHBW2/ref=sr_1_1?ie=UTF8&qid=1516873108&sr=8-1&keywords=FTL%3A+Faster+Than+Light,,,,,,,
Metal Slug 3 ,https://static-cdn.jtvnw.net/ttv-boxart/Metal%20Slug%203-285x380.jpg,https://www.amazon.com/Metal-Slug-Vita-Cross-Buy-Digital/dp/B00UZJEP0W/ref=sr_1_1?ie=UTF8&qid=1516873119&sr=8-1&keywords=Metal+Slug+3,,,,,,,
Pokemon Red/Blue ,https://static-cdn.jtvnw.net/ttv-boxart/Pok%C3%A9mon%20Red/Blue-285x380.jpg,https://www.amazon.com/s/ref=nb_sb_noss/131-5843569-8650104?url=search-alias%3Daps&field-keywords=Pokemon+Red%2FBlue+,,,,,,,
Hellblade ,https://static-cdn.jtvnw.net/ttv-boxart/Hellblade-285x380.jpg,https://www.amazon.com/Hellblade-Senuas-Sacrifice-Digital-Code/dp/B071G1SFGY/ref=sr_1_1?ie=UTF8&qid=1516873148&sr=8-1&keywords=Hellblade,,,,,,,
Metin 2 ,https://static-cdn.jtvnw.net/ttv-boxart/Metin%202-285x380.jpg,https://www.amazon.com/s/ref=nb_sb_noss/130-3851579-2456643?url=search-alias%3Daps&field-keywords=Metin+2+,,,,,,,
Jak II ,https://static-cdn.jtvnw.net/ttv-boxart/Jak%20II-285x380.jpg,https://www.amazon.com/Jak-II-PlayStation-2/dp/B000099T1Y/ref=sr_1_1?ie=UTF8&qid=1516873172&sr=8-1&keywords=Jak+II,,,,,,,
Crash Bandicoot: N. Sane Trilogy ,https://static-cdn.jtvnw.net/ttv-boxart/Crash%20Bandicoot:%20N.%20Sane%20Trilogy-285x380.jpg,https://www.amazon.com/Crash-Bandicoot-N-Sane-Trilogy-PlayStation/dp/B01NAGTKX3/ref=sr_1_1?ie=UTF8&qid=1516873187&sr=8-1&keywords=Crash+Bandicoot%3A+N.+Sane+Trilogy,,,,,,,
Undertale ,https://static-cdn.jtvnw.net/ttv-boxart/Undertale-285x380.jpg,https://www.amazon.com/Undertale-Surviving-Underground-Sans/dp/1982053763/ref=sr_1_2?ie=UTF8&qid=1516873201&sr=8-2&keywords=Undertale,,,,,,,
Resident Evil ,https://static-cdn.jtvnw.net/ttv-boxart/Resident%20Evil-285x380.jpg,https://www.amazon.com/Resident-Evil-Origins-Collection-PlayStation-Standard/dp/B014KXMDPC/ref=sr_1_2?ie=UTF8&qid=1516873214&sr=8-2&keywords=Resident+Evil,,,,,,,
Forza Horizon 3 ,https://static-cdn.jtvnw.net/ttv-boxart/Forza%20Horizon%203-285x380.jpg,https://www.amazon.com/Forza-Horizon-3-Xbox-One/dp/B01GW3LRD2/ref=sr_1_1?s=videogames&ie=UTF8&qid=1516873226&sr=1-1&keywords=Forza+Horizon+3,,,,,,,
Danganronpa Another Episode: Ultra Despair Girls ,https://static-cdn.jtvnw.net/ttv-boxart/Danganronpa%20Another%20Episode:%20Ultra%20Despair%20Girls-285x380.jpg,https://www.amazon.com/Danganronpa-Another-Episode-Ultra-Despair-PlayStation/dp/B00TXCBT1A/ref=sr_1_1?ie=UTF8&qid=1516873240&sr=8-1&keywords=Danganronpa+Another+Episode%3A+Ultra+Despair+Girls,,,,,,,
Metal Slug X: Super Vehicle - 001 ,https://static-cdn.jtvnw.net/ttv-boxart/Metal%20Slug%20X:%20Super%20Vehicle%20-%20001-285x380.jpg,https://www.amazon.com/Metal-Slug-X-Playstation/dp/B00005B2CV/ref=sr_1_1?ie=UTF8&qid=1516873253&sr=8-1&keywords=Metal+Slug+X%3A+Super+Vehicle+-+001,,,,,,,
Heavy Rain ,https://static-cdn.jtvnw.net/ttv-boxart/Heavy%20Rain-285x380.jpg,https://www.amazon.com/Beyond-Collection-Remastered-Playstation-Sony-4/dp/B01C90JRZW/ref=sr_1_1?ie=UTF8&qid=1516873265&sr=8-1&keywords=Heavy+Rain,,,,,,,
Car Mechanic Simulator 2018 ,https://static-cdn.jtvnw.net/ttv-boxart/Car%20Mechanic%20Simulator%202018-285x380.jpg,https://www.amazon.com/Mechanic-Simulator-2018-Online-Game/dp/B0761VFBZJ/ref=sr_1_1?ie=UTF8&qid=1516873279&sr=8-1&keywords=Car+Mechanic+Simulator+2018,,,,,,,
Granblue Fantasy ,https://static-cdn.jtvnw.net/ttv-boxart/Granblue%20Fantasy-285x380.jpg,https://www.amazon.com/GRANBLUE-FANTASY-GRAPHIC-ARCHIVE-Ichijinsya/dp/4758014302/ref=sr_1_2?ie=UTF8&qid=1516873299&sr=8-2&keywords=Granblue+Fantasy,,,,,,,
Duelyst ,https://static-cdn.jtvnw.net/ttv-boxart/Duelyst-285x380.jpg,https://www.amazon.com/s/ref=nb_sb_noss/147-1467222-3822150?url=search-alias%3Daps&field-keywords=Duelyst+,,,,,,,
